Activity Label,Project,Is this an implmentation activity?,What evidence exists to support the existence of this activity?," Does this activity have a formal ""call to action?""","Is this activity defined in a ""How to Contribute"" artifact?",Is this activity associated with any stated roles?,What participation/contribution data exists for this activity?,Notes
Enhancement Request,ec2instances.info,No,"Issues in Tracker, Call for Ideas in Read Me","Yes, stated ""Ideas vis issues are welcome""",No,No,Issue Tracker,
Documentation,webpack-bundle-analyzer,No,Issues in Tracker,"Yes, issues in tracker call for further writing and development of the documentation",No,No,Commit History,
Internal Optimizations,webpack-bundle-analyzer,No,"Change Log has activites such as changing over to Github Actions from Travis, updating dependencies, and configuring different tools",No,No,Maintainer/Developer,Change Log,Seems to be completed by Maintainers/Developers
Enhancement Request,webpack-bundle-analyzer,No,Issues in Tracker from Community Members,No,No,No,Issue Tracker,
Enhancement Request,card,No,Issues in Tracker,No,No,No,Issue Tracker,
Enhancement Request,HikariCP,No,Issues In Tracker,No,No,No,Issue Tracker,
Enhancement Request,nvm-windows,No,Issues in Tracker,No,Yes,No,Issue Tracker,
Discovery,nvm-windows,No,"Issue Tag in Tracker - ""Discovery Needed""",no,No,No,Issue Tracker,"Appears to be an activity that does ""discovery"" about issues that need more research. The maintainer tags many issues with ""discovery Needed"" and either he, the issue reporter, or the community members do research to determine the scale and scope of an issue and make suggestions for fixing it before it is attempted"
Plugin Requesting,streamlink,No,"Issue tag in tracker ""Plugin Request""",Yes,Yes,No,Issue Tracker,
Reporting Issues,streamlink,No,Defined in Contributing,Yes,Yes,No,Issue Tracker,
Documentation,kafka-docker,No,Issues in Tracker,No,no,No,Issue Tracker,
Code Review,Sentinel,No,Call to action in How to Contribute Artifact,Yes,Yes,No,Contributions in Issue Tracker,
Enhancement Request,Sentinel,No,Mentioned in How to Contribute,Yes,Yes,No,Contributions in Issue Tracker,
Bug Report,Sentinel,No,Mentioned in How to Contribute,Yes,Yes,No,Contributions in Issue Tracker,
Documentation,axios,No,"Mentioned in How to Contribute, and all are asked to update documentation with their changes should they be merged",Yes,Yes,No,Contributions in Issue Tracker,
Security Report,axios,No,SECURITY.md,Yes,No,No,None,Indviduals who identify security issues are asked to report directly to an individual
Bug Report,cookiecutter,No,Mentioned in How to Contribute,Yes,Yes,No,Issue Tracker,
Documentation,cookiecutter,No,Mentioned in how to contribute,yes,yes,no,Commit History,
Submit Feedback,cookiecutter,no,Mentioned in how to contribute,yes,yes,no,Issue Tracker,Has a detailed description of how to submit feedback effectively
Refactor,FirebaseUI-Android,yes,Issue Tracker Tag,No,No,No,Issue Tracker,
Issue Submission,koala,no,ISSUE_TEMPLATE,Yes/no ,No,no,none,Has an ISSUE_TEMPLATE document for how to submit issues
Issue Submission,CodeIgniter-Ion-Auth,no,Support description in read_me,Yes,No,No,Issue Tracker,
Idea Submission,vim-rails,no,CONTRIBUTING,no,yes,no,Issue Tracker,
Bug Report,Rectangle,No,Contributing,Yes,yes,no,Issue Tracker,
Issue Submission,reactstrap,no,Contributing,Yes,Yes,No,Issue Tracker,
Documentation,tinygrad,no,Documentation,Yes,Yes - on the projects website,No,Seperate Repository For Documentation,
Proposals,chalice,no,Issue Tracker tag,No,No,No,None,
Documentation,mybatis-3,no,Contributing,yes,yes,no,Issue Tracker,
Bug Report,mybatis-3,no,Contributing,Yes,yes,no,Commit History,
Feature Suggestion,mybatis-3,no,Contributing,yes,yes,no,Issue Tracker,
Bug Report,oauth2-client,no,Issues in Trracker,no,no,no,Issue Tracker,
Documentation,oauth2-client,no,Issues IN tracker,no,no,no,Issue Tracker,
documentation,node-ytdl-core,no,Issue tracker tag,n o,no,no,Issue Tracker,
discussion,node-ytdl-core,no,issue tracker tag,no,no,no,Issue Tracker,
Bug Report,jQuery-Mask-Plugin,no,Mentioned in contributing section in readme,yes,yes,no,Commit History,
Documentation,jQuery-Mask-Plugin,no,Mentioned in contributing section in readme,yes,yes,no,none,
Documentation,colorls,no,Issue tracker tag,no,no,no,Issue Tracker,
Documentation,wavesurfer.js,no,Issue Tracker Tag,no,no,no,Issue Tracker,
Bug Report,sigma.js,no,Contributing,Yes,yes,no,Issue Tracker,
Enhancement Request,styled-components,no,Issue Tracker Tag / issues,No,No,no,Issue Tracker,
Bug Report,styled-components,no,Issue Tracker Tag / issues,No,No,no,Issue Tracker,
Documentation,echarts,no,Issue Tracker Tag / issues,no,no,no,Issue Tracker,
Discussion,echarts,no,Issue Tracker Tag / issues,no,no,no,Issue Tracker,
Documentation,PaddleHub,no,Issue Tracker Tag,no,no,no,Issue Tracker Tag and Issues,
Bug Report,PaddleHub,no,issue tracker tag,no,no,no,Issue Tracker Tag and Issues,
Issue Submission,algo,no,Contributing,yes,no,no,Issue tracker ,
