Url,ID,Name,Resource Path,Stars,Latest Release,updatedAt,Description,isLocked,Fork Count,Repository Creation Date,Last Push,"Does the project contain a ""How to Contribute"" section?",Does the issue tracker have tags for non-implementation tasks?, Does the project track non-implementation contributions?,Does the project contain a public project roadmap?,Additional Observations
https://github.com/vantage-sh/ec2instances.info,MDEwOlJlcG9zaXRvcnkyNzI0MDgy,ec2instances.info,/vantage-sh/ec2instances.info,3675,,2022-01-30T15:01:07Z,Amazon EC2 instance comparison site,FALSE,502,2011-11-07T04:17:15Z,2022-01-18T23:18:18Z,"Yes, Only in ReadMe",No,No,No,"Primarily maintained by a company (vantage), very open to pull requests from community. Slack Channel in a community slack  "
https://github.com/webpack-contrib/webpack-bundle-analyzer,MDEwOlJlcG9zaXRvcnk3MTk2NjE3Nw==,webpack-bundle-analyzer,/webpack-contrib/webpack-bundle-analyzer,11566,,2022-01-30T18:07:26Z,Webpack plugin and CLI utility that represents bundle content as convenient interactive zoomable treemap,FALSE,453,2016-10-26T04:24:35Z,2022-01-22T12:10:12Z,"Yes, Focuses on how to build for development, and how to submit code changes",Yes,No,No,"Has a variety of tags in the issue tracker such as ""Community Help Wanted"" flagging issues that the community would be well suited for"
https://github.com/kentcdodds/advanced-react-hooks,MDEwOlJlcG9zaXRvcnkxODMyNjc4NDM=,advanced-react-hooks,/kentcdodds/advanced-react-hooks,1548,,2022-01-30T14:19:29Z,Learn Advanced React Hooks workshop,FALSE,797,2019-04-24T16:33:31Z,2022-01-04T00:19:33Z,"Yes, Focuses on how to build for development, and how to submit code changes",No,No,No,"This is a learning based project, designed for individuals to practice using React Hooks in a development envrionment. The app is an example application and has a number of exercieses for modfying it to practice hooks"
https://github.com/jessepollak/card,MDEwOlJlcG9zaXRvcnkxNTQ2NDc3Mg==,card,/jessepollak/card,11393,{'publishedAt': '2021-08-14T12:11:32Z'},2022-01-27T17:53:12Z,:credit_card: make your credit card form better in one line of code,FALSE,1454,2013-12-27T02:31:51Z,2022-01-25T12:48:08Z,"Yes, Focuses on how to build for development, and how to submit code changes",No,No,No,Credit Card Form Item 
https://github.com/brettwooldridge/HikariCP,MDEwOlJlcG9zaXRvcnkxMzQwNDUxNQ==,HikariCP,/brettwooldridge/HikariCP,16299,,2022-01-30T15:39:30Z,"光 HikariCP・A solid, high-performance, JDBC connection pool at last.",FALSE,2486,2013-10-08T05:43:03Z,2022-01-19T21:39:50Z,"Yes, Only in ReadMe",No,No,No,"Connection Pooling Application, very specific use case for developers. There does not seem to be really any ways for an indvidual to contribute to this project without code, with thte exception of Enhancement requests"
https://github.com/coreybutler/nvm-windows,MDEwOlJlcG9zaXRvcnkyNDI2ODEyNw==,nvm-windows,/coreybutler/nvm-windows,19314,{'publishedAt': '2021-12-10T19:16:12Z'},2022-01-30T21:46:59Z,A node.js version management utility for Windows. Ironically written in Go.,FALSE,2038,2014-09-20T16:37:28Z,2022-01-18T15:19:18Z,Yes,Yes,No,Yes - in the form of a Github Project Kanban board with issues sorted,"Very oriented towards the maintainer making changes, and encourging issues/bugs/feature requests"
https://github.com/streamlink/streamlink,MDEwOlJlcG9zaXRvcnk2ODQwMjMzNg==,streamlink,/streamlink/streamlink,7044,{'publishedAt': '2022-01-25T18:42:59Z'},2022-01-30T20:58:38Z,Streamlink is a CLI utility which pipes video streams from various services into a video player,FALSE,789,2016-09-16T17:52:50Z,2022-01-25T18:35:51Z,Yes - Particularly Comprehensive,Yes,No,no,Fork of another project
https://github.com/wurstmeister/kafka-docker,MDEwOlJlcG9zaXRvcnkxNTQwNTYwNw==,kafka-docker,/wurstmeister/kafka-docker,5956,,2022-01-30T08:06:25Z,Dockerfile for Apache Kafka,FALSE,2572,2013-12-23T22:01:52Z,2021-12-30T16:18:35Z,No,Yes,No,No,"Docker File for another project, much smaller in scale"
https://github.com/alibaba/Sentinel,MDEwOlJlcG9zaXRvcnkxMjgwMTg0Mjg=,Sentinel,/alibaba/Sentinel,18356,{'publishedAt': '2021-12-31T07:11:23Z'},2022-01-30T15:24:04Z,"A powerful flow control component enabling reliability, resilience and monitoring for microservices. (面向云原生微服务的高可用流控防护组件)",FALSE,6531,2018-04-04T06:37:33Z,2022-01-27T03:23:27Z,Yes - Particularly Comprehensive,Yes,Yes,No,
https://github.com/nikic/PHP-Parser,MDEwOlJlcG9zaXRvcnkxNjMxNTcw,PHP-Parser,/nikic/PHP-Parser,15183,{'publishedAt': '2021-11-30T19:40:18Z'},2022-01-30T20:54:33Z,A PHP parser written in PHP,FALSE,858,2011-04-18T17:03:47Z,2022-01-25T23:13:32Z,No,No,No,No,"Its a parser for PHP for human readable analysis. All of the default tags are wiped out, seems to be no place for anyone to start contributing easily, in any fashion"
https://github.com/axios/axios,MDEwOlJlcG9zaXRvcnkyMzA4ODc0MA==,axios,/axios/axios,90798,{'publishedAt': '2022-01-18T07:28:27Z'},2022-01-30T21:47:39Z,Promise based HTTP client for the browser and node.js,FALSE,9166,2014-08-18T22:30:27Z,2022-01-29T14:22:19Z,Yes - Focuses on how to build for development and how to submit code changes. Also mentions updating Documentation,Yes,Yes,No,
https://github.com/MyCATApache/Mycat-Server,MDEwOlJlcG9zaXRvcnkyNzUxOTgwMA==,Mycat-Server,/MyCATApache/Mycat-Server,9217,{'publishedAt': '2020-11-02T09:46:31Z'},2022-01-28T21:54:22Z,,FALSE,3885,2014-12-04T02:46:54Z,2022-01-19T13:27:04Z,No,No,No,No,
https://github.com/ctimmerm/axios-mock-adapter,MDEwOlJlcG9zaXRvcnk1NDM3ODA2NA==,axios-mock-adapter,/ctimmerm/axios-mock-adapter,2874,{'publishedAt': '2021-08-13T06:30:13Z'},2022-01-29T11:30:02Z,Axios adapter that allows to easily mock requests,FALSE,200,2016-03-21T10:00:22Z,2022-01-14T06:30:40Z,No,No,No,No,
https://github.com/jmschrei/pomegranate,MDEwOlJlcG9zaXRvcnkyNzA4OTE1OA==,pomegranate,/jmschrei/pomegranate,2820,{'publishedAt': '2016-03-30T20:01:37Z'},2022-01-29T16:50:21Z,"Fast, flexible and easy to use probabilistic modelling in Python.",FALSE,516,2014-11-24T18:36:58Z,2022-01-04T19:13:10Z,Yes - focuses on how to get involved in development,No,No,Yes - in the form of GithubProjects for the individual larger goals,
https://github.com/standard/standard,MDEwOlJlcG9zaXRvcnkyOTg5MTE4OA==,standard,/standard/standard,26582,,2022-01-30T18:09:20Z,"🌟 JavaScript Style Guide, with linter & automatic code fixer",FALSE,2161,2015-01-27T01:23:31Z,2022-01-28T12:04:34Z,No,No,No,No,"Seems to be fairly static as a project. Changes may react to changes in the Javascript Language, but unlikely to have super unique enhancement requests"
https://github.com/cookiecutter/cookiecutter,MDEwOlJlcG9zaXRvcnkxMTQwNzI0Mg==,cookiecutter,/cookiecutter/cookiecutter,16130,{'publishedAt': '2021-05-14T09:48:19Z'},2022-01-30T19:58:14Z,"A command-line utility that creates projects from cookiecutters (project templates), e.g. Python package projects, VueJS projects.",FALSE,1583,2013-07-14T18:31:22Z,2022-01-27T22:31:00Z,Yes - Particularly Comprehensive,Yes,yes,Yes - in the form of  aGithub project that lists all of the issues submitted that are slated for the next release,One of the mroe contributor friendly repositories
https://github.com/sveltejs/sapper,MDEwOlJlcG9zaXRvcnkxMTM4NjUwMzk=,sapper,/sveltejs/sapper,7182,,2022-01-30T16:59:37Z,"The next small thing in web development, powered by Svelte",FALSE,481,2017-12-11T13:54:33Z,2022-01-22T00:25:35Z,Yes - but only for development,No,No,Yes,"Dying project, has announced replacement"
https://github.com/firebase/FirebaseUI-Android,MDEwOlJlcG9zaXRvcnkzODgzNTIxMw==,FirebaseUI-Android,/firebase/FirebaseUI-Android,4358,{'publishedAt': '2021-07-30T14:10:30Z'},2022-01-30T11:37:53Z,Optimized UI components for Firebase,FALSE,1863,2015-07-09T17:31:09Z,2022-01-03T16:06:24Z,No,yes,yes,no,
